date,home_team,away_team,home_team_ar,away_team_ar,home_score,away_score,tournament,tournament_ar,city,country,country_ar,neutral,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
26/03/1900,Wales,England,ويلز,إنجلترا,1,1,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,FALSE,26,3,1900,0,0,2,1,0,1,Wales,England,0,0,0.18888,0.85962,1,draw,draw
18/03/1901,England,Wales,إنجلترا,ويلز,6,0,British Championship, البطولة البريطانية,Newcastle,England,إنجلترا,FALSE,18,3,1901,6,-6,6,2,1,0,England,Wales,1,6,0.51046,0.42962,1,winner,loser
03/03/1902,Wales,England,ويلز,إنجلترا,0,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,FALSE,3,3,1902,0,0,0,3,0,1,Wales,England,2,0,0.72553,0.86847,1,draw,draw
20/07/1902,Uruguay,Argentina,أوروغواي,الأرجنتين,0,6,Friendly,مبارة ودية,Montevideo,Uruguay,أوروغواي,FALSE,20,7,1902,-6,6,6,4,1,1,Uruguay,Argentina,2,6,0.29914,0.59445,1,loser,winner
02/03/1903,England,Wales,إنجلترا,ويلز,2,1,British Championship, البطولة البريطانية,Portsmouth,England,إنجلترا,FALSE,2,3,1903,1,-1,3,5,1,0,England,Wales,3,1,0.73497,0.00818,1,winner,loser
13/09/1903,Argentina,Uruguay,الأرجنتين,أوروغواي,2,3,Friendly,مبارة ودية,Buenos Aires,Argentina,الأرجنتين,FALSE,13,9,1903,-1,1,5,6,1,1,Argentina,Uruguay,3,1,0.60888,0.88934,1,loser,winner
29/02/1904,Wales,England,ويلز,إنجلترا,2,2,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,FALSE,29,2,1904,0,0,4,7,0,1,Wales,England,4,0,0.01183,0.35252,1,draw,draw
01/05/1904,Belgium,France,بلجيكا,فرنسا,3,3,Friendly,مبارة ودية,Brussels,Belgium,بلجيكا,FALSE,1,5,1904,0,0,6,8,1,0,Belgium,France,4,0,0.24535,0.70093,1,draw,draw
12/02/1905,France,Switzerland,فرنسا,سويسرا,1,0,Friendly,مبارة ودية,Paris,France,فرنسا,FALSE,12,2,1905,1,-1,1,9,0,0,France,Switzerland,5,1,0.62015,0.56337,1,winner,loser
27/03/1905,England,Wales,إنجلترا,ويلز,3,1,British Championship, البطولة البريطانية,Liverpool,England,إنجلترا,FALSE,27,3,1905,2,-2,4,10,1,0,England,Wales,5,2,0.23281,0.91892,1,winner,loser
30/04/1905,Belgium,Netherlands,بلجيكا,هولندا,1,4,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,30,4,1905,-3,3,5,11,1,1,Belgium,Netherlands,5,3,0.63549,0.53813,1,loser,winner
07/05/1905,Belgium,France,بلجيكا,فرنسا,7,0,Friendly,مبارة ودية,Brussels,Belgium,بلجيكا,FALSE,7,5,1905,7,-7,7,12,1,0,Belgium,France,5,7,0.64401,0.02658,1,winner,loser
14/05/1905,Netherlands,Belgium,هولندا,بلجيكا,4,0,Friendly,مبارة ودية,Rotterdam,Netherlands,هولندا,FALSE,14,5,1905,4,-4,4,13,1,1,Netherlands,Belgium,5,4,0.81216,0.17188,1,winner,loser
15/08/1905,Argentina,Uruguay,الأرجنتين,أوروغواي,0,0,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,FALSE,15,8,1905,0,0,0,14,1,1,Argentina,Uruguay,5,0,0.9011,0.35862,1,draw,draw
19/03/1906,Wales,England,ويلز,إنجلترا,0,1,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,FALSE,19,3,1906,-1,1,1,15,0,1,Wales,England,6,1,0.30448,0.58617,1,loser,winner
