home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Wales,England,1,1,British Championship,Wales,26,3,1900,0,0,2,1,0,1,Wales,England,0,0,0.18888,0.85962,1,draw,draw
England,Wales,6,0,British Championship,England,18,3,1901,6,-6,6,2,1,0,England,Wales,1,6,0.51046,0.42962,1,winner,loser
Wales,England,0,0,British Championship,Wales,3,3,1902,0,0,0,3,0,1,Wales,England,2,0,0.72553,0.86847,1,draw,draw
Uruguay,Argentina,0,6,Friendly,Uruguay,20,7,1902,-6,6,6,4,1,1,Uruguay,Argentina,2,6,0.29914,0.59445,1,loser,winner
England,Wales,2,1,British Championship,England,2,3,1903,1,-1,3,5,1,0,England,Wales,3,1,0.73497,0.00818,1,winner,loser
Argentina,Uruguay,2,3,Friendly,Argentina,13,9,1903,-1,1,5,6,1,1,Argentina,Uruguay,3,1,0.60888,0.88934,1,loser,winner
Wales,England,2,2,British Championship,Wales,29,2,1904,0,0,4,7,0,1,Wales,England,4,0,0.01183,0.35252,1,draw,draw
Belgium,France,3,3,Friendly,Belgium,1,5,1904,0,0,6,8,1,0,Belgium,France,4,0,0.24535,0.70093,1,draw,draw
France,Switzerland,1,0,Friendly,France,12,2,1905,1,-1,1,9,0,0,France,Switzerland,5,1,0.62015,0.56337,1,winner,loser
England,Wales,3,1,British Championship,England,27,3,1905,2,-2,4,10,1,0,England,Wales,5,2,0.23281,0.91892,1,winner,loser
Belgium,Netherlands,1,4,Friendly,Belgium,30,4,1905,-3,3,5,11,1,1,Belgium,Netherlands,5,3,0.63549,0.53813,1,loser,winner
Belgium,France,7,0,Friendly,Belgium,7,5,1905,7,-7,7,12,1,0,Belgium,France,5,7,0.64401,0.02658,1,winner,loser
Netherlands,Belgium,4,0,Friendly,Netherlands,14,5,1905,4,-4,4,13,1,1,Netherlands,Belgium,5,4,0.81216,0.17188,1,winner,loser
Argentina,Uruguay,0,0,Copa Lipton,Argentina,15,8,1905,0,0,0,14,1,1,Argentina,Uruguay,5,0,0.9011,0.35862,1,draw,draw
Wales,England,0,1,British Championship,Wales,19,3,1906,-1,1,1,15,0,1,Wales,England,6,1,0.30448,0.58617,1,loser,winner
France,Belgium,0,5,Friendly,France,22,4,1906,-5,5,5,16,0,1,France,Belgium,6,5,0.39137,0.16348,1,loser,winner
Belgium,Netherlands,5,0,Friendly,Belgium,29,4,1906,5,-5,5,17,1,1,Belgium,Netherlands,6,5,0.85972,0.03792,1,winner,loser
