serial,date,year,year_n,month,day,decade,team,team_ar,status,home_score,away_score,home_result,away_result,total_goals,result,tournament,tournament_ar,city,country,country_ar,home_group,away_group,home_random,away_random,team_txt,random,result_desc,home_team,home_team_ar,home_team_txt,away_team,away_team_ar,away_team_txt,size,team_a,team_a_ar,team_a_txt,team_b,team_b_ar,team_b_txt,result_desc_a,result_desc_b,score_a,score_b,result_a,result_b,random_a,random_b
1,26/03/1900,1900,0,3,26,1,Wales,ويلز,home_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.18888,0.85962,Wales,0.18888,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,1,1,0,0,0.18888,0.85962
1,26/03/1900,1900,0,3,26,1,England,إنجلترا,away_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.18888,0.85962,England,0.85962,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,1,1,0,0,0.18888,0.85962
2,18/03/1901,1901,1,3,18,1,England,إنجلترا,home_team,6,0,6,-6,6,6,British Championship, البطولة البريطانية,Newcastle,England,إنجلترا,1,0,0.51046,0.42962,England,0.51046,winner,England,إنجلترا,England,Wales,ويلز,Wales,6,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,6,0,6,-6,0.51046,0.42962
2,18/03/1901,1901,1,3,18,1,Wales,ويلز,away_team,6,0,6,-6,6,-6,British Championship, البطولة البريطانية,Newcastle,England,إنجلترا,1,0,0.51046,0.42962,Wales,0.42962,loser,England,إنجلترا,England,Wales,ويلز,Wales,6,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,0,6,-6,6,0.51046,0.42962
3,03/03/1902,1902,2,3,3,1,Wales,ويلز,home_team,0,0,0,0,0,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.72553,0.86847,Wales,0.72553,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,0,0,0,0,0.72553,0.86847
3,03/03/1902,1902,2,3,3,1,England,إنجلترا,away_team,0,0,0,0,0,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.72553,0.86847,England,0.86847,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,0,0,0,0,0.72553,0.86847
4,20/07/1902,1902,2,7,20,1,Uruguay,أوروغواي,home_team,0,6,-6,6,6,-6,Friendly,مباراة ودية,Montevideo,Uruguay,أوروغواي,1,1,0.29914,0.59445,Uruguay,0.29914,loser,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,6,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,loser,winner,0,6,-6,6,0.29914,0.59445
4,20/07/1902,1902,2,7,20,1,Argentina,الأرجنتين,away_team,0,6,-6,6,6,6,Friendly,مباراة ودية,Montevideo,Uruguay,أوروغواي,1,1,0.29914,0.59445,Argentina,0.59445,winner,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,6,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,winner,loser,6,0,6,-6,0.29914,0.59445
5,02/03/1903,1903,3,3,2,1,England,إنجلترا,home_team,2,1,1,-1,3,1,British Championship, البطولة البريطانية,Portsmouth,England,إنجلترا,1,0,0.73497,0.00818,England,0.73497,winner,England,إنجلترا,England,Wales,ويلز,Wales,1,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,2,1,1,-1,0.73497,0.00818
5,02/03/1903,1903,3,3,2,1,Wales,ويلز,away_team,2,1,1,-1,3,-1,British Championship, البطولة البريطانية,Portsmouth,England,إنجلترا,1,0,0.73497,0.00818,Wales,0.00818,loser,England,إنجلترا,England,Wales,ويلز,Wales,1,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,1,2,-1,1,0.73497,0.00818
