serial,year,year_n,month,day,decade,team_ar,status,home_score,away_score,home_result,away_result,total_goals,result,tournament_ar,country_ar,home_group,away_group,home_random,away_random,team_txt,random,result_desc,home_team_ar,home_team_txt,away_team_ar,away_team_txt,size,team_a_ar,team_a_txt,team_b_ar,team_b_txt,result_desc_a,result_desc_b,score_a,score_b,result_a,result_b,random_a,random_b
1,1900,0,3,26,1,ويلز,home_team,1,1,0,0,2,0, البطولة البريطانية,ويلز,0,1,0.18888,0.85962,Wales,0.18888,draw,ويلز,Wales,إنجلترا,England,0,ويلز,Wales,إنجلترا,England,draw,draw,1,1,0,0,0.18888,0.85962
1,1900,0,3,26,1,إنجلترا,away_team,1,1,0,0,2,0, البطولة البريطانية,ويلز,0,1,0.18888,0.85962,England,0.85962,draw,ويلز,Wales,إنجلترا,England,0,إنجلترا,England,ويلز,Wales,draw,draw,1,1,0,0,0.18888,0.85962
2,1901,1,3,18,1,إنجلترا,home_team,6,0,6,-6,6,6, البطولة البريطانية,إنجلترا,1,0,0.51046,0.42962,England,0.51046,winner,إنجلترا,England,ويلز,Wales,6,إنجلترا,England,ويلز,Wales,winner,loser,6,0,6,-6,0.51046,0.42962
2,1901,1,3,18,1,ويلز,away_team,6,0,6,-6,6,-6, البطولة البريطانية,إنجلترا,1,0,0.51046,0.42962,Wales,0.42962,loser,إنجلترا,England,ويلز,Wales,6,ويلز,Wales,إنجلترا,England,loser,winner,0,6,-6,6,0.51046,0.42962
3,1902,2,3,3,1,ويلز,home_team,0,0,0,0,0,0, البطولة البريطانية,ويلز,0,1,0.72553,0.86847,Wales,0.72553,draw,ويلز,Wales,إنجلترا,England,0,ويلز,Wales,إنجلترا,England,draw,draw,0,0,0,0,0.72553,0.86847
3,1902,2,3,3,1,إنجلترا,away_team,0,0,0,0,0,0, البطولة البريطانية,ويلز,0,1,0.72553,0.86847,England,0.86847,draw,ويلز,Wales,إنجلترا,England,0,إنجلترا,England,ويلز,Wales,draw,draw,0,0,0,0,0.72553,0.86847
4,1902,2,7,20,1,أوروغواي,home_team,0,6,-6,6,6,-6,مباراة ودية,أوروغواي,1,1,0.29914,0.59445,Uruguay,0.29914,loser,أوروغواي,Uruguay,الأرجنتين,Argentina,6,أوروغواي,Uruguay,الأرجنتين,Argentina,loser,winner,0,6,-6,6,0.29914,0.59445
4,1902,2,7,20,1,الأرجنتين,away_team,0,6,-6,6,6,6,مباراة ودية,أوروغواي,1,1,0.29914,0.59445,Argentina,0.59445,winner,أوروغواي,Uruguay,الأرجنتين,Argentina,6,الأرجنتين,Argentina,أوروغواي,Uruguay,winner,loser,6,0,6,-6,0.29914,0.59445
5,1903,3,3,2,1,إنجلترا,home_team,2,1,1,-1,3,1, البطولة البريطانية,إنجلترا,1,0,0.73497,0.00818,England,0.73497,winner,إنجلترا,England,ويلز,Wales,1,إنجلترا,England,ويلز,Wales,winner,loser,2,1,1,-1,0.73497,0.00818
5,1903,3,3,2,1,ويلز,away_team,2,1,1,-1,3,-1, البطولة البريطانية,إنجلترا,1,0,0.73497,0.00818,Wales,0.00818,loser,إنجلترا,England,ويلز,Wales,1,ويلز,Wales,إنجلترا,England,loser,winner,1,2,-1,1,0.73497,0.00818
6,1903,3,9,13,1,الأرجنتين,home_team,2,3,-1,1,5,-1,مباراة ودية,الأرجنتين,1,1,0.60888,0.88934,Argentina,0.60888,loser,الأرجنتين,Argentina,أوروغواي,Uruguay,1,الأرجنتين,Argentina,أوروغواي,Uruguay,loser,winner,2,3,-1,1,0.60888,0.88934
6,1903,3,9,13,1,أوروغواي,away_team,2,3,-1,1,5,1,مباراة ودية,الأرجنتين,1,1,0.60888,0.88934,Uruguay,0.88934,winner,الأرجنتين,Argentina,أوروغواي,Uruguay,1,أوروغواي,Uruguay,الأرجنتين,Argentina,winner,loser,3,2,1,-1,0.60888,0.88934
7,1904,4,2,29,1,ويلز,home_team,2,2,0,0,4,0, البطولة البريطانية,ويلز,0,1,0.01183,0.35252,Wales,0.01183,draw,ويلز,Wales,إنجلترا,England,0,ويلز,Wales,إنجلترا,England,draw,draw,2,2,0,0,0.01183,0.35252
7,1904,4,2,29,1,إنجلترا,away_team,2,2,0,0,4,0, البطولة البريطانية,ويلز,0,1,0.01183,0.35252,England,0.35252,draw,ويلز,Wales,إنجلترا,England,0,إنجلترا,England,ويلز,Wales,draw,draw,2,2,0,0,0.01183,0.35252
8,1904,4,5,1,1,بلجيكا,home_team,3,3,0,0,6,0,مباراة ودية,بلجيكا,1,0,0.24535,0.70093,Belgium,0.24535,draw,بلجيكا,Belgium,فرنسا,France,0,بلجيكا,Belgium,فرنسا,France,draw,draw,3,3,0,0,0.24535,0.70093
8,1904,4,5,1,1,فرنسا,away_team,3,3,0,0,6,0,مباراة ودية,بلجيكا,1,0,0.24535,0.70093,France,0.70093,draw,بلجيكا,Belgium,فرنسا,France,0,فرنسا,France,بلجيكا,Belgium,draw,draw,3,3,0,0,0.24535,0.70093
9,1905,5,2,12,1,فرنسا,home_team,1,0,1,-1,1,1,مباراة ودية,فرنسا,0,0,0.62015,0.56337,France,0.62015,winner,فرنسا,France,سويسرا,Switzerland,1,فرنسا,France,سويسرا,Switzerland,winner,loser,1,0,1,-1,0.62015,0.56337
9,1905,5,2,12,1,سويسرا,away_team,1,0,1,-1,1,-1,مباراة ودية,فرنسا,0,0,0.62015,0.56337,Switzerland,0.56337,loser,فرنسا,France,سويسرا,Switzerland,1,سويسرا,Switzerland,فرنسا,France,loser,winner,0,1,-1,1,0.62015,0.56337
10,1905,5,3,27,1,إنجلترا,home_team,3,1,2,-2,4,2, البطولة البريطانية,إنجلترا,1,0,0.23281,0.91892,England,0.23281,winner,إنجلترا,England,ويلز,Wales,2,إنجلترا,England,ويلز,Wales,winner,loser,3,1,2,-2,0.23281,0.91892
10,1905,5,3,27,1,ويلز,away_team,3,1,2,-2,4,-2, البطولة البريطانية,إنجلترا,1,0,0.23281,0.91892,Wales,0.91892,loser,إنجلترا,England,ويلز,Wales,2,ويلز,Wales,إنجلترا,England,loser,winner,1,3,-2,2,0.23281,0.91892
11,1905,5,4,30,1,بلجيكا,home_team,1,4,-3,3,5,-3,مباراة ودية,بلجيكا,1,1,0.63549,0.53813,Belgium,0.63549,loser,بلجيكا,Belgium,هولندا,Netherlands,3,بلجيكا,Belgium,هولندا,Netherlands,loser,winner,1,4,-3,3,0.63549,0.53813
11,1905,5,4,30,1,هولندا,away_team,1,4,-3,3,5,3,مباراة ودية,بلجيكا,1,1,0.63549,0.53813,Netherlands,0.53813,winner,بلجيكا,Belgium,هولندا,Netherlands,3,هولندا,Netherlands,بلجيكا,Belgium,winner,loser,4,1,3,-3,0.63549,0.53813
12,1905,5,5,7,1,بلجيكا,home_team,7,0,7,-7,7,7,مباراة ودية,بلجيكا,1,0,0.64401,0.02658,Belgium,0.64401,winner,بلجيكا,Belgium,فرنسا,France,7,بلجيكا,Belgium,فرنسا,France,winner,loser,7,0,7,-7,0.64401,0.02658
12,1905,5,5,7,1,فرنسا,away_team,7,0,7,-7,7,-7,مباراة ودية,بلجيكا,1,0,0.64401,0.02658,France,0.02658,loser,بلجيكا,Belgium,فرنسا,France,7,فرنسا,France,بلجيكا,Belgium,loser,winner,0,7,-7,7,0.64401,0.02658
13,1905,5,5,14,1,هولندا,home_team,4,0,4,-4,4,4,مباراة ودية,هولندا,1,1,0.81216,0.17188,Netherlands,0.81216,winner,هولندا,Netherlands,بلجيكا,Belgium,4,هولندا,Netherlands,بلجيكا,Belgium,winner,loser,4,0,4,-4,0.81216,0.17188
13,1905,5,5,14,1,بلجيكا,away_team,4,0,4,-4,4,-4,مباراة ودية,هولندا,1,1,0.81216,0.17188,Belgium,0.17188,loser,هولندا,Netherlands,بلجيكا,Belgium,4,بلجيكا,Belgium,هولندا,Netherlands,loser,winner,0,4,-4,4,0.81216,0.17188
