serial,year,year_n,month,day,decade,team,status,home_score,away_score,home_result,away_result,total_goals,result,tournament,country,home_group,away_group,home_random,away_random,team_txt,random,result_desc,home_team,home_team_txt,away_team,away_team_txt,size,team_a,team_a_txt,team_b,team_b_txt,result_desc_a,result_desc_b,score_a,score_b,result_a,result_b,random_a,random_b
1,1900,0,3,26,1,Wales,home_team,1,1,0,0,2,0,British Championship,Wales,0,1,0.18888,0.85962,Wales,0.18888,draw,Wales,Wales,England,England,0,Wales,Wales,England,England,draw,draw,1,1,0,0,0.18888,0.85962
1,1900,0,3,26,1,England,away_team,1,1,0,0,2,0,British Championship,Wales,0,1,0.18888,0.85962,England,0.85962,draw,Wales,Wales,England,England,0,England,England,Wales,Wales,draw,draw,1,1,0,0,0.18888,0.85962
2,1901,1,3,18,1,England,home_team,6,0,6,-6,6,6,British Championship,England,1,0,0.51046,0.42962,England,0.51046,winner,England,England,Wales,Wales,6,England,England,Wales,Wales,winner,loser,6,0,6,-6,0.51046,0.42962
2,1901,1,3,18,1,Wales,away_team,6,0,6,-6,6,-6,British Championship,England,1,0,0.51046,0.42962,Wales,0.42962,loser,England,England,Wales,Wales,6,Wales,Wales,England,England,loser,winner,0,6,-6,6,0.51046,0.42962
3,1902,2,3,3,1,Wales,home_team,0,0,0,0,0,0,British Championship,Wales,0,1,0.72553,0.86847,Wales,0.72553,draw,Wales,Wales,England,England,0,Wales,Wales,England,England,draw,draw,0,0,0,0,0.72553,0.86847
3,1902,2,3,3,1,England,away_team,0,0,0,0,0,0,British Championship,Wales,0,1,0.72553,0.86847,England,0.86847,draw,Wales,Wales,England,England,0,England,England,Wales,Wales,draw,draw,0,0,0,0,0.72553,0.86847
4,1902,2,7,20,1,Uruguay,home_team,0,6,-6,6,6,-6,Friendly,Uruguay,1,1,0.29914,0.59445,Uruguay,0.29914,loser,Uruguay,Uruguay,Argentina,Argentina,6,Uruguay,Uruguay,Argentina,Argentina,loser,winner,0,6,-6,6,0.29914,0.59445
4,1902,2,7,20,1,Argentina,away_team,0,6,-6,6,6,6,Friendly,Uruguay,1,1,0.29914,0.59445,Argentina,0.59445,winner,Uruguay,Uruguay,Argentina,Argentina,6,Argentina,Argentina,Uruguay,Uruguay,winner,loser,6,0,6,-6,0.29914,0.59445
5,1903,3,3,2,1,England,home_team,2,1,1,-1,3,1,British Championship,England,1,0,0.73497,0.00818,England,0.73497,winner,England,England,Wales,Wales,1,England,England,Wales,Wales,winner,loser,2,1,1,-1,0.73497,0.00818
5,1903,3,3,2,1,Wales,away_team,2,1,1,-1,3,-1,British Championship,England,1,0,0.73497,0.00818,Wales,0.00818,loser,England,England,Wales,Wales,1,Wales,Wales,England,England,loser,winner,1,2,-1,1,0.73497,0.00818
6,1903,3,9,13,1,Argentina,home_team,2,3,-1,1,5,-1,Friendly,Argentina,1,1,0.60888,0.88934,Argentina,0.60888,loser,Argentina,Argentina,Uruguay,Uruguay,1,Argentina,Argentina,Uruguay,Uruguay,loser,winner,2,3,-1,1,0.60888,0.88934
6,1903,3,9,13,1,Uruguay,away_team,2,3,-1,1,5,1,Friendly,Argentina,1,1,0.60888,0.88934,Uruguay,0.88934,winner,Argentina,Argentina,Uruguay,Uruguay,1,Uruguay,Uruguay,Argentina,Argentina,winner,loser,3,2,1,-1,0.60888,0.88934
7,1904,4,2,29,1,Wales,home_team,2,2,0,0,4,0,British Championship,Wales,0,1,0.01183,0.35252,Wales,0.01183,draw,Wales,Wales,England,England,0,Wales,Wales,England,England,draw,draw,2,2,0,0,0.01183,0.35252
7,1904,4,2,29,1,England,away_team,2,2,0,0,4,0,British Championship,Wales,0,1,0.01183,0.35252,England,0.35252,draw,Wales,Wales,England,England,0,England,England,Wales,Wales,draw,draw,2,2,0,0,0.01183,0.35252
8,1904,4,5,1,1,Belgium,home_team,3,3,0,0,6,0,Friendly,Belgium,1,0,0.24535,0.70093,Belgium,0.24535,draw,Belgium,Belgium,France,France,0,Belgium,Belgium,France,France,draw,draw,3,3,0,0,0.24535,0.70093
8,1904,4,5,1,1,France,away_team,3,3,0,0,6,0,Friendly,Belgium,1,0,0.24535,0.70093,France,0.70093,draw,Belgium,Belgium,France,France,0,France,France,Belgium,Belgium,draw,draw,3,3,0,0,0.24535,0.70093
9,1905,5,2,12,1,France,home_team,1,0,1,-1,1,1,Friendly,France,0,0,0.62015,0.56337,France,0.62015,winner,France,France,Switzerland,Switzerland,1,France,France,Switzerland,Switzerland,winner,loser,1,0,1,-1,0.62015,0.56337
9,1905,5,2,12,1,Switzerland,away_team,1,0,1,-1,1,-1,Friendly,France,0,0,0.62015,0.56337,Switzerland,0.56337,loser,France,France,Switzerland,Switzerland,1,Switzerland,Switzerland,France,France,loser,winner,0,1,-1,1,0.62015,0.56337
10,1905,5,3,27,1,England,home_team,3,1,2,-2,4,2,British Championship,England,1,0,0.23281,0.91892,England,0.23281,winner,England,England,Wales,Wales,2,England,England,Wales,Wales,winner,loser,3,1,2,-2,0.23281,0.91892
10,1905,5,3,27,1,Wales,away_team,3,1,2,-2,4,-2,British Championship,England,1,0,0.23281,0.91892,Wales,0.91892,loser,England,England,Wales,Wales,2,Wales,Wales,England,England,loser,winner,1,3,-2,2,0.23281,0.91892
11,1905,5,4,30,1,Belgium,home_team,1,4,-3,3,5,-3,Friendly,Belgium,1,1,0.63549,0.53813,Belgium,0.63549,loser,Belgium,Belgium,Netherlands,Netherlands,3,Belgium,Belgium,Netherlands,Netherlands,loser,winner,1,4,-3,3,0.63549,0.53813
11,1905,5,4,30,1,Netherlands,away_team,1,4,-3,3,5,3,Friendly,Belgium,1,1,0.63549,0.53813,Netherlands,0.53813,winner,Belgium,Belgium,Netherlands,Netherlands,3,Netherlands,Netherlands,Belgium,Belgium,winner,loser,4,1,3,-3,0.63549,0.53813
12,1905,5,5,7,1,Belgium,home_team,7,0,7,-7,7,7,Friendly,Belgium,1,0,0.64401,0.02658,Belgium,0.64401,winner,Belgium,Belgium,France,France,7,Belgium,Belgium,France,France,winner,loser,7,0,7,-7,0.64401,0.02658
12,1905,5,5,7,1,France,away_team,7,0,7,-7,7,-7,Friendly,Belgium,1,0,0.64401,0.02658,France,0.02658,loser,Belgium,Belgium,France,France,7,France,France,Belgium,Belgium,loser,winner,0,7,-7,7,0.64401,0.02658
13,1905,5,5,14,1,Netherlands,home_team,4,0,4,-4,4,4,Friendly,Netherlands,1,1,0.81216,0.17188,Netherlands,0.81216,winner,Netherlands,Netherlands,Belgium,Belgium,4,Netherlands,Netherlands,Belgium,Belgium,winner,loser,4,0,4,-4,0.81216,0.17188
13,1905,5,5,14,1,Belgium,away_team,4,0,4,-4,4,-4,Friendly,Netherlands,1,1,0.81216,0.17188,Belgium,0.17188,loser,Netherlands,Netherlands,Belgium,Belgium,4,Belgium,Belgium,Netherlands,Netherlands,loser,winner,0,4,-4,4,0.81216,0.17188
14,1905,5,8,15,1,Argentina,home_team,0,0,0,0,0,0,Copa Lipton,Argentina,1,1,0.9011,0.35862,Argentina,0.9011,draw,Argentina,Argentina,Uruguay,Uruguay,0,Argentina,Argentina,Uruguay,Uruguay,draw,draw,0,0,0,0,0.9011,0.35862
14,1905,5,8,15,1,Uruguay,away_team,0,0,0,0,0,0,Copa Lipton,Argentina,1,1,0.9011,0.35862,Uruguay,0.35862,draw,Argentina,Argentina,Uruguay,Uruguay,0,Uruguay,Uruguay,Argentina,Argentina,draw,draw,0,0,0,0,0.9011,0.35862
15,1906,6,3,19,1,Wales,home_team,0,1,-1,1,1,-1,British Championship,Wales,0,1,0.30448,0.58617,Wales,0.30448,loser,Wales,Wales,England,England,1,Wales,Wales,England,England,loser,winner,0,1,-1,1,0.30448,0.58617
15,1906,6,3,19,1,England,away_team,0,1,-1,1,1,1,British Championship,Wales,0,1,0.30448,0.58617,England,0.58617,winner,Wales,Wales,England,England,1,England,England,Wales,Wales,winner,loser,1,0,1,-1,0.30448,0.58617
16,1906,6,4,22,1,France,home_team,0,5,-5,5,5,-5,Friendly,France,0,1,0.39137,0.16348,France,0.39137,loser,France,France,Belgium,Belgium,5,France,France,Belgium,Belgium,loser,winner,0,5,-5,5,0.39137,0.16348
16,1906,6,4,22,1,Belgium,away_team,0,5,-5,5,5,5,Friendly,France,0,1,0.39137,0.16348,Belgium,0.16348,winner,France,France,Belgium,Belgium,5,Belgium,Belgium,France,France,winner,loser,5,0,5,-5,0.39137,0.16348
17,1906,6,4,29,1,Belgium,home_team,5,0,5,-5,5,5,Friendly,Belgium,1,1,0.85972,0.03792,Belgium,0.85972,winner,Belgium,Belgium,Netherlands,Netherlands,5,Belgium,Belgium,Netherlands,Netherlands,winner,loser,5,0,5,-5,0.85972,0.03792
17,1906,6,4,29,1,Netherlands,away_team,5,0,5,-5,5,-5,Friendly,Belgium,1,1,0.85972,0.03792,Netherlands,0.03792,loser,Belgium,Belgium,Netherlands,Netherlands,5,Netherlands,Netherlands,Belgium,Belgium,loser,winner,0,5,-5,5,0.85972,0.03792
18,1906,6,5,13,1,Netherlands,home_team,2,3,-1,1,5,-1,Friendly,Netherlands,1,1,0.31951,0.98711,Netherlands,0.31951,loser,Netherlands,Netherlands,Belgium,Belgium,1,Netherlands,Netherlands,Belgium,Belgium,loser,winner,2,3,-1,1,0.31951,0.98711
18,1906,6,5,13,1,Belgium,away_team,2,3,-1,1,5,1,Friendly,Netherlands,1,1,0.31951,0.98711,Belgium,0.98711,winner,Netherlands,Netherlands,Belgium,Belgium,1,Belgium,Belgium,Netherlands,Netherlands,winner,loser,3,2,1,-1,0.31951,0.98711
19,1906,6,8,15,1,Uruguay,home_team,0,2,-2,2,2,-2,Copa Lipton,Uruguay,1,1,0.72405,0.00968,Uruguay,0.72405,loser,Uruguay,Uruguay,Argentina,Argentina,2,Uruguay,Uruguay,Argentina,Argentina,loser,winner,0,2,-2,2,0.72405,0.00968
19,1906,6,8,15,1,Argentina,away_team,0,2,-2,2,2,2,Copa Lipton,Uruguay,1,1,0.72405,0.00968,Argentina,0.00968,winner,Uruguay,Uruguay,Argentina,Argentina,2,Argentina,Argentina,Uruguay,Uruguay,winner,loser,2,0,2,-2,0.72405,0.00968
20,1906,6,10,21,1,Argentina,home_team,2,1,1,-1,3,1,Copa Newton,Argentina,1,1,0.43289,0.10853,Argentina,0.43289,winner,Argentina,Argentina,Uruguay,Uruguay,1,Argentina,Argentina,Uruguay,Uruguay,winner,loser,2,1,1,-1,0.43289,0.10853
20,1906,6,10,21,1,Uruguay,away_team,2,1,1,-1,3,-1,Copa Newton,Argentina,1,1,0.43289,0.10853,Uruguay,0.10853,loser,Argentina,Argentina,Uruguay,Uruguay,1,Uruguay,Uruguay,Argentina,Argentina,loser,winner,1,2,-1,1,0.43289,0.10853
21,1907,7,3,18,1,England,home_team,1,1,0,0,2,0,British Championship,England,1,0,0.94094,0.13946,England,0.94094,draw,England,England,Wales,Wales,0,England,England,Wales,Wales,draw,draw,1,1,0,0,0.94094,0.13946
21,1907,7,3,18,1,Wales,away_team,1,1,0,0,2,0,British Championship,England,1,0,0.94094,0.13946,Wales,0.13946,draw,England,England,Wales,Wales,0,Wales,Wales,England,England,draw,draw,1,1,0,0,0.94094,0.13946
22,1907,7,4,14,1,Belgium,home_team,1,3,-2,2,4,-2,Friendly,Belgium,1,1,0.64182,0.95946,Belgium,0.64182,loser,Belgium,Belgium,Netherlands,Netherlands,2,Belgium,Belgium,Netherlands,Netherlands,loser,winner,1,3,-2,2,0.64182,0.95946
22,1907,7,4,14,1,Netherlands,away_team,1,3,-2,2,4,2,Friendly,Belgium,1,1,0.64182,0.95946,Netherlands,0.95946,winner,Belgium,Belgium,Netherlands,Netherlands,2,Netherlands,Netherlands,Belgium,Belgium,winner,loser,3,1,2,-2,0.64182,0.95946
23,1907,7,4,21,1,Belgium,home_team,1,2,-1,1,3,-1,Friendly,Belgium,1,0,0.08541,0.03219,Belgium,0.08541,loser,Belgium,Belgium,France,France,1,Belgium,Belgium,France,France,loser,winner,1,2,-1,1,0.08541,0.03219
23,1907,7,4,21,1,France,away_team,1,2,-1,1,3,1,Friendly,Belgium,1,0,0.08541,0.03219,France,0.03219,winner,Belgium,Belgium,France,France,1,France,France,Belgium,Belgium,winner,loser,2,1,1,-1,0.08541,0.03219
24,1907,7,5,9,1,Netherlands,home_team,1,2,-1,1,3,-1,Friendly,Netherlands,1,1,0.96616,0.39144,Netherlands,0.96616,loser,Netherlands,Netherlands,Belgium,Belgium,1,Netherlands,Netherlands,Belgium,Belgium,loser,winner,1,2,-1,1,0.96616,0.39144
24,1907,7,5,9,1,Belgium,away_team,1,2,-1,1,3,1,Friendly,Netherlands,1,1,0.96616,0.39144,Belgium,0.39144,winner,Netherlands,Netherlands,Belgium,Belgium,1,Belgium,Belgium,Netherlands,Netherlands,winner,loser,2,1,1,-1,0.96616,0.39144
25,1908,8,3,8,1,Switzerland,home_team,1,2,-1,1,3,-1,Friendly,Switzerland,0,0,0.4805,0.15903,Switzerland,0.4805,loser,Switzerland,Switzerland,France,France,1,Switzerland,Switzerland,France,France,loser,winner,1,2,-1,1,0.4805,0.15903
25,1908,8,3,8,1,France,away_team,1,2,-1,1,3,1,Friendly,Switzerland,0,0,0.4805,0.15903,France,0.15903,winner,Switzerland,Switzerland,France,France,1,France,France,Switzerland,Switzerland,winner,loser,2,1,1,-1,0.4805,0.15903
26,1908,8,3,16,1,Wales,home_team,1,7,-6,6,8,-6,British Championship,Wales,0,1,0.68501,0.69785,Wales,0.68501,loser,Wales,Wales,England,England,6,Wales,Wales,England,England,loser,winner,1,7,-6,6,0.68501,0.69785
26,1908,8,3,16,1,England,away_team,1,7,-6,6,8,6,British Championship,Wales,0,1,0.68501,0.69785,England,0.69785,winner,Wales,Wales,England,England,6,England,England,Wales,Wales,winner,loser,7,1,6,-6,0.68501,0.69785
27,1908,8,3,29,1,Belgium,home_team,1,4,-3,3,5,-3,Friendly,Belgium,1,1,0.33947,0.65572,Belgium,0.33947,loser,Belgium,Belgium,Netherlands,Netherlands,3,Belgium,Belgium,Netherlands,Netherlands,loser,winner,1,4,-3,3,0.33947,0.65572
27,1908,8,3,29,1,Netherlands,away_team,1,4,-3,3,5,3,Friendly,Belgium,1,1,0.33947,0.65572,Netherlands,0.65572,winner,Belgium,Belgium,Netherlands,Netherlands,3,Netherlands,Netherlands,Belgium,Belgium,winner,loser,4,1,3,-3,0.33947,0.65572
28,1908,8,4,5,1,Switzerland,home_team,5,3,2,-2,8,2,Friendly,Switzerland,0,1,0.7869,0.76033,Switzerland,0.7869,winner,Switzerland,Switzerland,Germany,Germany,2,Switzerland,Switzerland,Germany,Germany,winner,loser,5,3,2,-2,0.7869,0.76033
28,1908,8,4,5,1,Germany,away_team,5,3,2,-2,8,-2,Friendly,Switzerland,0,1,0.7869,0.76033,Germany,0.76033,loser,Switzerland,Switzerland,Germany,Germany,2,Germany,Germany,Switzerland,Switzerland,loser,winner,3,5,-2,2,0.7869,0.76033
29,1908,8,4,12,1,France,home_team,1,2,-1,1,3,-1,Friendly,France,0,1,0.12137,0.04366,France,0.12137,loser,France,France,Belgium,Belgium,1,France,France,Belgium,Belgium,loser,winner,1,2,-1,1,0.12137,0.04366
29,1908,8,4,12,1,Belgium,away_team,1,2,-1,1,3,1,Friendly,France,0,1,0.12137,0.04366,Belgium,0.04366,winner,France,France,Belgium,Belgium,1,Belgium,Belgium,France,France,winner,loser,2,1,1,-1,0.12137,0.04366
30,1908,8,4,26,1,Netherlands,home_team,3,1,2,-2,4,2,Friendly,Netherlands,1,1,0.81934,0.8281,Netherlands,0.81934,winner,Netherlands,Netherlands,Belgium,Belgium,2,Netherlands,Netherlands,Belgium,Belgium,winner,loser,3,1,2,-2,0.81934,0.8281
30,1908,8,4,26,1,Belgium,away_team,3,1,2,-2,4,-2,Friendly,Netherlands,1,1,0.81934,0.8281,Belgium,0.8281,loser,Netherlands,Netherlands,Belgium,Belgium,2,Belgium,Belgium,Netherlands,Netherlands,loser,winner,1,3,-2,2,0.81934,0.8281
31,1908,8,5,10,1,Netherlands,home_team,4,1,3,-3,5,3,Friendly,Netherlands,1,0,0.74209,0.12457,Netherlands,0.74209,winner,Netherlands,Netherlands,France,France,3,Netherlands,Netherlands,France,France,winner,loser,4,1,3,-3,0.74209,0.12457
31,1908,8,5,10,1,France,away_team,4,1,3,-3,5,-3,Friendly,Netherlands,1,0,0.74209,0.12457,France,0.12457,loser,Netherlands,Netherlands,France,France,3,France,France,Netherlands,Netherlands,loser,winner,1,4,-3,3,0.74209,0.12457
32,1908,8,8,15,1,Uruguay,home_team,2,2,0,0,4,0,Copa Lipton,Uruguay,1,1,0.48291,0.43999,Uruguay,0.48291,draw,Uruguay,Uruguay,Argentina,Argentina,0,Uruguay,Uruguay,Argentina,Argentina,draw,draw,2,2,0,0,0.48291,0.43999
32,1908,8,8,15,1,Argentina,away_team,2,2,0,0,4,0,Copa Lipton,Uruguay,1,1,0.48291,0.43999,Argentina,0.43999,draw,Uruguay,Uruguay,Argentina,Argentina,0,Argentina,Argentina,Uruguay,Uruguay,draw,draw,2,2,0,0,0.48291,0.43999
33,1908,8,9,13,1,Argentina,home_team,2,1,1,-1,3,1,Copa Newton,Argentina,1,1,0.73164,0.15123,Argentina,0.73164,winner,Argentina,Argentina,Uruguay,Uruguay,1,Argentina,Argentina,Uruguay,Uruguay,winner,loser,2,1,1,-1,0.73164,0.15123
33,1908,8,9,13,1,Uruguay,away_team,2,1,1,-1,3,-1,Copa Newton,Argentina,1,1,0.73164,0.15123,Uruguay,0.15123,loser,Argentina,Argentina,Uruguay,Uruguay,1,Uruguay,Uruguay,Argentina,Argentina,loser,winner,1,2,-1,1,0.73164,0.15123
34,1908,8,10,4,1,Argentina,home_team,0,1,-1,1,1,-1,Copa Premio Honor Argentino,Argentina,1,1,0.01594,0.18676,Argentina,0.01594,loser,Argentina,Argentina,Uruguay,Uruguay,1,Argentina,Argentina,Uruguay,Uruguay,loser,winner,0,1,-1,1,0.01594,0.18676
34,1908,8,10,4,1,Uruguay,away_team,0,1,-1,1,1,1,Copa Premio Honor Argentino,Argentina,1,1,0.01594,0.18676,Uruguay,0.18676,winner,Argentina,Argentina,Uruguay,Uruguay,1,Uruguay,Uruguay,Argentina,Argentina,winner,loser,1,0,1,-1,0.01594,0.18676
35,1909,9,3,15,1,England,home_team,2,0,2,-2,2,2,British Championship,England,1,0,0.34003,0.82075,England,0.34003,winner,England,England,Wales,Wales,2,England,England,Wales,Wales,winner,loser,2,0,2,-2,0.34003,0.82075
35,1909,9,3,15,1,Wales,away_team,2,0,2,-2,2,-2,British Championship,England,1,0,0.34003,0.82075,Wales,0.82075,loser,England,England,Wales,Wales,2,Wales,Wales,England,England,loser,winner,0,2,-2,2,0.34003,0.82075
36,1909,9,3,21,1,Belgium,home_team,1,4,-3,3,5,-3,Friendly,Belgium,1,1,0.79134,0.22508,Belgium,0.79134,loser,Belgium,Belgium,Netherlands,Netherlands,3,Belgium,Belgium,Netherlands,Netherlands,loser,winner,1,4,-3,3,0.79134,0.22508
36,1909,9,3,21,1,Netherlands,away_team,1,4,-3,3,5,3,Friendly,Belgium,1,1,0.79134,0.22508,Netherlands,0.22508,winner,Belgium,Belgium,Netherlands,Netherlands,3,Netherlands,Netherlands,Belgium,Belgium,winner,loser,4,1,3,-3,0.79134,0.22508
37,1909,9,4,4,1,Germany,home_team,1,0,1,-1,1,1,Friendly,Germany,1,0,0.89395,0.46182,Germany,0.89395,winner,Germany,Germany,Switzerland,Switzerland,1,Germany,Germany,Switzerland,Switzerland,winner,loser,1,0,1,-1,0.89395,0.46182
37,1909,9,4,4,1,Switzerland,away_team,1,0,1,-1,1,-1,Friendly,Germany,1,0,0.89395,0.46182,Switzerland,0.46182,loser,Germany,Germany,Switzerland,Switzerland,1,Switzerland,Switzerland,Germany,Germany,loser,winner,0,1,-1,1,0.89395,0.46182
