team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Australia,Argentina,أستراليا,الأرجنتين,1,5,1,7,14,71,14,Australia,Argentina
Belgium,Argentina,بلجيكا,الأرجنتين,0,3,1,4,25,75,0,Belgium,Argentina
Brazil,Argentina,البرازيل,الأرجنتين,26,39,43,108,40,36,24,Brazil,Argentina
Cameroon,Argentina,الكاميرون,الأرجنتين,1,0,1,2,50,0,50,Cameroon,Argentina
Canada,Argentina,كندا,الأرجنتين,0,1,0,1,0,100,0,Canada,Argentina
Costa Rica,Argentina,كوستا ريكا,الأرجنتين,2,4,0,6,0,67,33,Costa_Rica,Argentina
Croatia,Argentina,كرواتيا,الأرجنتين,1,2,2,5,40,40,20,Croatia,Argentina
Denmark,Argentina,الدنمارك,الأرجنتين,1,0,1,2,50,0,50,Denmark,Argentina
Ecuador,Argentina,الاكوادور,الأرجنتين,11,21,5,37,14,57,30,Ecuador,Argentina
England,Argentina,إنجلترا,الأرجنتين,6,3,6,15,40,20,40,England,Argentina
France,Argentina,فرنسا,الأرجنتين,3,6,3,12,25,50,25,France,Argentina
Germany,Argentina,ألمانيا,الأرجنتين,6,10,7,23,30,43,26,Germany,Argentina
Ghana,Argentina,غانا,الأرجنتين,0,1,0,1,0,100,0,Ghana,Argentina
Iran,Argentina,إيران,الأرجنتين,1,1,0,2,0,50,50,Iran,Argentina
Japan,Argentina,اليابان,الأرجنتين,0,6,1,7,14,86,0,Japan,Argentina
Mexico,Argentina,المكسيك,الأرجنتين,12,15,4,31,13,48,39,Mexico,Argentina
Morocco,Argentina,المغرب,الأرجنتين,0,3,0,3,0,100,0,Morocco,Argentina
Netherlands,Argentina,هولندا,الأرجنتين,4,1,4,9,44,11,44,Netherlands,Argentina
Poland,Argentina,بولندا,الأرجنتين,2,6,3,11,27,55,18,Poland,Argentina
Portugal,Argentina,البرتغال,الأرجنتين,1,5,2,8,25,62,12,Portugal,Argentina
Qatar,Argentina,قطر,الأرجنتين,0,2,0,2,0,100,0,Qatar,Argentina
Saudi Arabia,Argentina,السعودية,الأرجنتين,2,2,0,4,0,50,50,Saudi_Arabia,Argentina
Serbia,Argentina,صربيا,الأرجنتين,0,3,1,4,25,75,0,Serbia,Argentina
South Korea,Argentina,كوريا الجنوبية,الأرجنتين,0,3,0,3,0,100,0,South_Korea,Argentina
Spain,Argentina,إسبانيا,الأرجنتين,2,6,6,14,43,43,14,Spain,Argentina
Switzerland,Argentina,سويسرا,الأرجنتين,2,5,0,7,0,71,29,Switzerland,Argentina
Tunisia,Argentina,تونس,الأرجنتين,0,1,0,1,0,100,0,Tunisia,Argentina
United States,Argentina,الولايات المتحدة ,الأرجنتين,2,6,2,10,20,60,20,United_States,Argentina
Uruguay,Argentina,أوروغواي,الأرجنتين,43,84,52,179,29,47,24,Uruguay,Argentina
Wales,Argentina,ويلز,الأرجنتين,1,1,0,2,0,50,50,Wales,Argentina
Argentina,Australia,الأرجنتين,أستراليا,1,1,5,7,71,14,14,Argentina,Australia
Belgium,Australia,بلجيكا,أستراليا,0,0,1,1,100,0,0,Belgium,Australia
Brazil,Australia,البرازيل,أستراليا,1,1,6,8,75,12,12,Brazil,Australia
Cameroon,Australia,الكاميرون,أستراليا,1,0,0,1,0,0,100,Cameroon,Australia
Canada,Australia,كندا,أستراليا,1,5,3,9,33,56,11,Canada,Australia
Costa Rica,Australia,كوستا ريكا,أستراليا,0,1,0,1,0,100,0,Costa_Rica,Australia
Croatia,Australia,كرواتيا,أستراليا,2,2,2,6,33,33,33,Croatia,Australia
Denmark,Australia,الدنمارك,أستراليا,1,1,2,4,50,25,25,Denmark,Australia
Ecuador,Australia,الاكوادور,أستراليا,0,0,1,1,100,0,0,Ecuador,Australia
England,Australia,إنجلترا,أستراليا,2,1,4,7,57,14,29,England,Australia
France,Australia,فرنسا,أستراليا,1,1,3,5,60,20,20,France,Australia
Germany,Australia,ألمانيا,أستراليا,1,1,4,6,67,17,17,Germany,Australia
Ghana,Australia,غانا,أستراليا,2,4,1,7,14,57,29,Ghana,Australia
Iran,Australia,إيران,أستراليا,2,2,3,7,43,29,29,Iran,Australia
Japan,Australia,اليابان,أستراليا,9,6,11,26,42,23,35,Japan,Australia
Mexico,Australia,المكسيك,أستراليا,2,2,0,4,0,50,50,Mexico,Australia
Morocco,Australia,المغرب,أستراليا,0,1,0,1,0,100,0,Morocco,Australia
Netherlands,Australia,هولندا,أستراليا,2,1,1,4,25,25,50,Netherlands,Australia
Poland,Australia,بولندا,أستراليا,0,1,0,1,0,100,0,Poland,Australia
Qatar,Australia,قطر,أستراليا,1,3,1,5,20,60,20,Qatar,Australia
Saudi Arabia,Australia,السعودية,أستراليا,3,5,2,10,20,50,30,Saudi_Arabia,Australia
Serbia,Australia,صربيا,أستراليا,1,1,0,2,0,50,50,Serbia,Australia
South Korea,Australia,كوريا الجنوبية,أستراليا,11,9,8,28,29,32,39,South_Korea,Australia
Spain,Australia,إسبانيا,أستراليا,0,0,1,1,100,0,0,Spain,Australia
Switzerland,Australia,سويسرا,أستراليا,1,0,0,1,0,0,100,Switzerland,Australia
Tunisia,Australia,تونس,أستراليا,0,0,1,1,100,0,0,Tunisia,Australia
United States,Australia,الولايات المتحدة ,أستراليا,1,1,1,3,33,33,33,United_States,Australia
Uruguay,Australia,أوروغواي,أستراليا,0,3,4,7,57,43,0,Uruguay,Australia
Wales,Australia,ويلز,أستراليا,0,1,0,1,0,100,0,Wales,Australia
Argentina,Belgium,الأرجنتين,بلجيكا,0,1,3,4,75,25,0,Argentina,Belgium
Australia,Belgium,أستراليا,بلجيكا,0,1,0,1,0,100,0,Australia,Belgium
Brazil,Belgium,البرازيل,بلجيكا,0,2,3,5,60,40,0,Brazil,Belgium
Canada,Belgium,كندا,بلجيكا,0,1,0,1,0,100,0,Canada,Belgium
Costa Rica,Belgium,كوستا ريكا,بلجيكا,0,2,0,2,0,100,0,Costa_Rica,Belgium
Croatia,Belgium,كرواتيا,بلجيكا,2,3,3,8,38,38,25,Croatia,Belgium
Denmark,Belgium,الدنمارك,بلجيكا,3,7,6,16,38,44,19,Denmark,Belgium
