serial,cup_serial,team,team_txt,year,host,host_ar,appearances,stage,count,rank,part,pld,w,d,l,gf,ga,gd,pts
1,1,Argentina,Argentina,1930,Uruguay,أوروغواي,17,2nd,1,4,17,81,43,15,23,137,93,44,144
2,2,Argentina,Argentina,1934,Italy,إيطاليا,17,R1,1,4,17,81,43,15,23,137,93,44,144
3,6,Argentina,Argentina,1958,Sweden,السويد,17,R1,2,4,17,81,43,15,23,137,93,44,144
4,7,Argentina,Argentina,1962,Chile,تشيلي,17,R1,3,4,17,81,43,15,23,137,93,44,144
5,8,Argentina,Argentina,1966,England,إنجلترا,17,QF,1,4,17,81,43,15,23,137,93,44,144
6,10,Argentina,Argentina,1974,Germany,ألمانيا,17,R2,1,4,17,81,43,15,23,137,93,44,144
7,11,Argentina,Argentina,1978,Argentina,الأرجنتين,17,1st,1,4,17,81,43,15,23,137,93,44,144
8,12,Argentina,Argentina,1982,Spain,إسبانيا,17,R2,2,4,17,81,43,15,23,137,93,44,144
9,13,Argentina,Argentina,1986,Mexico,المكسيك,17,1st,2,4,17,81,43,15,23,137,93,44,144
10,14,Argentina,Argentina,1990,Italy,إيطاليا,17,2nd,2,4,17,81,43,15,23,137,93,44,144
11,15,Argentina,Argentina,1994,US,الولايات المتحدة ,17,R2,3,4,17,81,43,15,23,137,93,44,144
12,16,Argentina,Argentina,1998,France,فرنسا,17,QF,2,4,17,81,43,15,23,137,93,44,144
13,17,Argentina,Argentina,2002,Korea-Japan,كوريا واليابان,17,R1,4,4,17,81,43,15,23,137,93,44,144
14,18,Argentina,Argentina,2006,Germany,ألمانيا,17,QF,3,4,17,81,43,15,23,137,93,44,144
15,19,Argentina,Argentina,2010,South Africa,جنوب أفريقيا,17,QF,4,4,17,81,43,15,23,137,93,44,144
16,20,Argentina,Argentina,2014,Brazil,البرازيل,17,2nd,3,4,17,81,43,15,23,137,93,44,144
17,21,Argentina,Argentina,2018,Russia,روسيا,17,R2,4,4,17,81,43,15,23,137,93,44,144
1,10,Australia,Australia,1974,Germany,ألمانيا,5,R1,1,49,5,16,2,4,10,13,31,−18,10
2,18,Australia,Australia,2006,Germany,ألمانيا,5,R2,1,49,5,16,2,4,10,13,31,−19,11
3,19,Australia,Australia,2010,South Africa,جنوب أفريقيا,5,R1,2,49,5,16,2,4,10,13,31,−20,12
